Exercises,Parameters,Notes,Comments,Video
Crossbody Stretch,3 x 60 sec,1x/day,Warm Up,
Ulnar Nerve Flossing,2x 20,2x/day,Try once before bed:    https://www.youtube.com/watch?v=UY97v4WxrzI,
Eccentric Focus Pull Ups,3-5 sets of 5-10 ,1-2x/wk,,
Movie Stars***,3 x 6 to 10 x 3 sec hold at the bottom ,3x/wk,Strength,
Upright Row Holds**',3 x 6 to 12 x 5 to 10 sec,2x/wk,,
90/90 KB up carries,3 x 20-40 ft,2x/wk,,
Dumbbell Front Raise eccentric***,3 x 6 to 8 (6 sec lowering),3x/wk Slight bend of the elbow,Strength,
Chicken Wings***,3x 10 x10 sec,2x/wk,,
Overhead Banded Quicks (Small pulses at point),3 x 30 sec,2x/wk,,
,,,,
,,,,
External Rotation Door Stretch,2-3 x 60 sec,1x/day,WarmUp,
90/90 External rotation walk out,2x 10 x 5 sec,3-4x/wk,Warm Up,
Front Raise (Y) Banded,"2-3 x 8-10 x Slow Tempo, Or till it burns","3-4x/wkGo to point just before pain sets in, hold slowly lower; 45 degrees with the body",Warm Up,
Lateral Rises holds,3 x 6 to 8 x 3 sec Tempo,3x/wk,Strength,
Lat pull downs,3 x 8 to 12 reps (Tempo 3-3-3),2x/wk,Strength,
Lat Pull overs,3x 8 to 12 ,As wanted,,
,,,,
,,,,
Day 1, Day 2,Day 3,,
,,,,
,,,,
,,,,
,,,,
,,,,
Pain Rules,,,,
"1. Keep Pain under a 3/10 At all times, and make sure NO PAIN is sharp in quality",,,,
"2. If pain improves during the sets, AWESOME. You can progress things. If it gets worse, back off. Decrease ROM, Weight or activity.",,,,
"3. If 24 hours after the session your having MORE pain than the previous days, take a day off and rest the shoulder ",,,,
"4. If pain is increasing, take a step back. Decrease intensity of exercise until pain corrects and you note progress",,,,
